,Lambda,Feature,Aggregation Type,Attack Mean,Benign Mean,Total Mean
362,5.0,TCP ACK,Channel,1.5162364750123276e-05,-5.287113026271105e-05,-1.8854382756293887e-05
363,5.0,Median (JIT),DST IP (JIT),7.240646330065634e-06,-4.5324141609922866e-05,-1.9041747639928617e-05
364,0.1,50th QDS,DST IP,4.2305734488937007e-07,-3.883830895269186e-05,-1.9207625803901248e-05
365,0.1,Variance (JIT),Channel (JIT),-3.4772498987615094e-05,-4.023879840900452e-06,-1.9398189414257773e-05
366,0.1,Variance,DST IP,5.476024750931629e-05,-9.387671899378377e-05,-1.9558235742233743e-05
367,5.0,TCP PSH,Channel,-9.827001511635295e-06,-3.17886353356891e-05,-2.08078184236622e-05
368,0.01,TCP ACK,SRC IP,0.0001369991592244184,-0.00017871062668631084,-2.0855733730946216e-05
369,0.01,TCP ACK,DST IP,0.00010588944842086847,-0.00014782407099976993,-2.096731128945073e-05
370,3.0,75th QDS,Socket,9.384432727660815e-05,-0.00013695280821749778,-2.1554240470444817e-05
371,5.0,Mean,SRC IP,8.098290845098542e-06,-5.2057222429925356e-05,-2.1979465792413406e-05
372,0.01,Magnitude,Socket,4.065911831519757e-05,-8.739294443993371e-05,-2.336691306236807e-05
373,1.0,TCP RST,DST IP,2.586104625362476e-05,-7.52927691866018e-05,-2.4715861466488523e-05
374,0.1,TCP PSH,DST IP,4.884565829267911e-05,-0.00010019349119694207,-2.567391645213148e-05
375,1.0,Variance (JIT),Channel (JIT),3.294107432048806e-05,-8.436241011523858e-05,-2.571066789737526e-05
376,3.0,25th QDS,Channel,4.501617429916025e-06,-5.759864549164805e-05,-2.6548514030866013e-05
377,1.0,25th QDS,Socket,4.6839819774177235e-05,-0.0001073926418816129,-3.0276411053717834e-05
378,1.0,50th QDS,SRC IP,-5.9100488763729854e-05,-3.790180546107044e-06,-3.144533465491845e-05
379,3.0,Magnitude,Socket,7.946149138401276e-05,-0.00014649198436802915,-3.3515246492008194e-05
380,0.01,TCP PSH,SRC IP,2.6056939748612975e-05,-9.404514753934573e-05,-3.399410389536638e-05
381,0.01,TCP SYN,Socket,2.7914007706609636e-06,-7.449448820106786e-05,-3.585154371520345e-05
382,3.0,Median (JIT),Channel (JIT),-7.343251878240316e-05,-7.195369687639902e-08,-3.675223623963978e-05
383,1.0,Mean (JIT),DST IP (JIT),-0.00013847928541141035,5.7239059988871494e-05,-4.062011271126943e-05
384,1.0,Variance,Channel,4.199567315004817e-05,-0.0001263573993901772,-4.218086312006451e-05
385,5.0,TCP PSH,DST IP,2.444333358660918e-05,-0.00011390688486143552,-4.473177563741317e-05
386,5.0,Covariance,Channel,-1.4170554830913111e-06,-9.26704455848028e-05,-4.7043750533947054e-05
387,0.01,Median (JIT),Channel (JIT),4.719494483537515e-05,-0.00014258762848008678,-4.769634182235581e-05
388,5.0,Median (JIT),Channel (JIT),-8.485512376676982e-05,-1.3672289593419466e-05,-4.926370668009464e-05
389,1.0,75th QDS,Socket,1.226980293216369e-05,-0.00011084544096241923,-4.9287819015127776e-05
390,3.0,50th QDS,DST IP,6.214694251508415e-05,-0.0001612836536066761,-4.9568355545795974e-05
391,1.0,Mean (JIT),Channel (JIT),-3.141380553733268e-05,-6.983397516113413e-05,-5.0623890349233406e-05
392,0.1,TCP RST,DST IP,2.365643206674009e-05,-0.00012827149522088408,-5.230753157707199e-05
393,0.1,50th QDS,Socket,3.4307271906208244e-05,-0.00013961784554062848,-5.265528681721012e-05
394,0.01,75th QDS,Socket,7.376169238251223e-06,-0.0001130619458242942,-5.284288829302149e-05
395,0.1,Weight (JIT),SRC IP (JIT),3.852617459489987e-05,-0.00015241682232800037,-5.6945323866550255e-05
396,0.01,25th QDS,SRC IP,-2.2557507045045566e-05,-9.200807223770431e-05,-5.7282789641374936e-05
397,0.1,TCP Flag count,SRC IP,0.00013844532026303046,-0.0002548550232785971,-5.8204851507783324e-05
398,0.1,Mean (JIT),DST IP (JIT),-5.046220600185723e-05,-7.326282407561099e-05,-6.186251503873411e-05
399,1.0,TCP ACK,DST IP,2.3410377572254964e-06,-0.00013118114668937795,-6.442005446607623e-05
